,team_code_x,season_x,game_id,game_date,player_id_x,jersey_num,pts,fga,fga3,fgm,fgm3,fta,ftm,ast,blk,stl,dreb,oreb,reb,pf,tf,tov,mins_played,player_id_AND_season,grade_level,division,first_name,last_name,jersey_no,height_in,season_y,class_desc,xml_name,school,conference,height_ft,conference_id,player_id_y,position,team_code_y,drafted
11,193.0,2015.0,251-193-2015-11-22,2015-11-22,1711099.0,14,5.0,7.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,16.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
12,193.0,2015.0,193-731-2015-11-29,2015-11-29,1711099.0,14,8.0,4.0,0.0,2.0,0.0,6.0,4.0,2.0,2.0,1.0,3.0,3.0,6.0,2.0,0.0,1.0,25.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
13,193.0,2015.0,367-193-2016-02-20,2016-02-20,1711099.0,14,8.0,10.0,5.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,10.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
14,193.0,2015.0,740-193-2015-11-20,2015-11-20,1711099.0,14,8.0,7.0,3.0,2.0,0.0,11.0,4.0,2.0,1.0,0.0,4.0,1.0,5.0,1.0,0.0,2.0,26.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
15,193.0,2015.0,193-457-2016-03-05,2016-03-05,1711099.0,14,10.0,12.0,5.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,7.0,1.0,8.0,4.0,0.0,1.0,29.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
16,193.0,2015.0,193-688-2016-01-18,2016-01-18,1711099.0,14,13.0,12.0,8.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,7.0,4.0,11.0,2.0,0.0,3.0,40.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
17,193.0,2015.0,255-193-2016-02-02,2016-02-02,1711099.0,14,14.0,15.0,4.0,3.0,1.0,8.0,7.0,2.0,4.0,0.0,9.0,1.0,10.0,0.0,0.0,2.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
18,193.0,2015.0,193-99-2015-12-30,2015-12-30,1711099.0,14,14.0,14.0,7.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,5.0,2.0,0.0,0.0,35.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
19,193.0,2015.0,193-490-2016-02-06,2016-02-06,1711099.0,14,14.0,10.0,6.0,3.0,2.0,7.0,6.0,3.0,2.0,0.0,6.0,1.0,7.0,3.0,0.0,0.0,32.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
20,193.0,2015.0,193-749-2016-03-01,2016-03-01,1711099.0,14,15.0,17.0,5.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,7.0,4.0,11.0,1.0,0.0,2.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
21,193.0,2015.0,193-639-2015-11-13,2015-11-13,1711099.0,14,15.0,16.0,9.0,5.0,1.0,6.0,4.0,1.0,2.0,2.0,4.0,1.0,5.0,3.0,0.0,1.0,28.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
22,193.0,2015.0,193-732-2015-12-19,2015-12-19,1711099.0,14,15.0,16.0,6.0,6.0,2.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,5.0,3.0,0.0,1.0,42.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
23,193.0,2015.0,193-813-2015-11-25,2015-11-25,1711099.0,14,15.0,16.0,6.0,7.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,2.0,34.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
24,193.0,2015.0,513-193-2016-03-10,2016-03-10,1711099.0,14,16.0,16.0,7.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,7.0,4.0,0.0,5.0,36.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
25,193.0,2015.0,193-234-2016-02-25,2016-02-25,1711099.0,14,16.0,14.0,5.0,5.0,2.0,5.0,4.0,2.0,0.0,2.0,3.0,3.0,6.0,0.0,0.0,1.0,40.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
26,193.0,2015.0,193-742-2016-01-09,2016-01-09,1711099.0,14,16.0,7.0,6.0,4.0,3.0,9.0,5.0,2.0,6.0,1.0,8.0,1.0,9.0,1.0,0.0,2.0,37.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
27,193.0,2015.0,147-193-2016-01-13,2016-01-13,1711099.0,14,16.0,11.0,6.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,2.0,34.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
28,193.0,2015.0,545-193-2016-02-28,2016-02-28,1711099.0,14,17.0,13.0,8.0,5.0,3.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,4.0,0.0,3.0,37.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
29,193.0,2015.0,749-193-2016-01-06,2016-01-06,1711099.0,14,17.0,13.0,5.0,5.0,2.0,6.0,5.0,3.0,4.0,3.0,5.0,0.0,5.0,2.0,0.0,1.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
30,193.0,2015.0,193-367-2016-02-08,2016-02-08,1711099.0,14,18.0,9.0,5.0,5.0,2.0,8.0,6.0,4.0,1.0,0.0,8.0,2.0,10.0,1.0,0.0,3.0,40.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
31,193.0,2015.0,415-193-2016-01-25,2016-01-25,1711099.0,14,19.0,13.0,3.0,8.0,1.0,2.0,2.0,2.0,0.0,1.0,7.0,3.0,10.0,2.0,0.0,4.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
32,193.0,2015.0,193-460-2016-03-17,2016-03-17,1711099.0,14,20.0,12.0,2.0,7.0,1.0,10.0,5.0,3.0,2.0,1.0,7.0,2.0,9.0,2.0,0.0,1.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
33,193.0,2015.0,457-193-2016-02-17,2016-02-17,1711099.0,14,20.0,21.0,5.0,7.0,2.0,4.0,4.0,4.0,2.0,1.0,6.0,4.0,10.0,2.0,0.0,1.0,40.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
34,193.0,2015.0,193-81-2015-11-14,2015-11-14,1711099.0,14,21.0,11.0,6.0,7.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,24.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
35,193.0,2015.0,193-490-2016-03-09,2016-03-09,1711099.0,14,22.0,14.0,7.0,7.0,5.0,5.0,3.0,4.0,1.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,40.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0,1
36,193.0,2014.0,193-688-2015-02-28,2015-02-28,1620696.0,12,23.0,16.0,5.0,10.0,3.0,1.0,0.0,1.0,3.0,2.0,6.0,3.0,9.0,2.0,0.0,2.0,40.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
37,193.0,2014.0,603-193-2015-01-25,2015-01-25,1620696.0,12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
38,193.0,2014.0,193-415-2015-01-13,2015-01-13,1620696.0,12,2.0,6.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,27.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
39,193.0,2014.0,367-193-2015-01-17,2015-01-17,1620696.0,12,3.0,3.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,6.0,1.0,7.0,3.0,0.0,3.0,38.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
40,193.0,2014.0,796-193-2014-12-03,2014-12-03,1620696.0,12,5.0,6.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,5.0,3.0,0.0,4.0,32.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
41,193.0,2014.0,193-579-2015-03-20,2015-03-20,1620696.0,12,6.0,4.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0,0.0,11.0,0.0,11.0,2.0,0.0,2.0,24.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
42,193.0,2014.0,193-545-2015-01-19,2015-01-19,1620696.0,12,7.0,7.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,22.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
43,193.0,2014.0,193-244-2014-11-26,2014-11-26,1620696.0,12,7.0,7.0,3.0,2.0,1.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,23.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
44,193.0,2014.0,193-725-2014-11-30,2014-11-30,1620696.0,12,7.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,12.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
45,193.0,2014.0,193-709-2014-12-29,2014-12-29,1620696.0,12,9.0,9.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,1.0,5.0,3.0,0.0,1.0,29.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
46,193.0,2014.0,234-193-2015-02-09,2015-02-09,1620696.0,12,10.0,6.0,3.0,1.0,1.0,10.0,7.0,1.0,1.0,2.0,4.0,1.0,5.0,5.0,0.0,4.0,32.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
47,193.0,2014.0,490-193-2015-01-11,2015-01-11,1620696.0,12,10.0,13.0,6.0,3.0,1.0,5.0,3.0,1.0,0.0,1.0,3.0,1.0,4.0,5.0,0.0,0.0,30.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
48,193.0,2014.0,193-796-2015-04-06,2015-04-06,1620696.0,12,11.0,9.0,2.0,3.0,1.0,7.0,4.0,1.0,3.0,1.0,9.0,0.0,9.0,4.0,0.0,2.0,32.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
49,193.0,2014.0,193-490-2015-03-12,2015-03-12,1620696.0,12,11.0,7.0,3.0,3.0,1.0,4.0,4.0,1.0,0.0,3.0,6.0,0.0,6.0,2.0,0.0,1.0,25.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
50,193.0,2014.0,193-513-2015-03-13,2015-03-13,1620696.0,12,11.0,8.0,0.0,5.0,0.0,1.0,1.0,3.0,1.0,1.0,8.0,3.0,11.0,3.0,0.0,3.0,30.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
51,193.0,2014.0,193-164-2014-12-18,2014-12-18,1620696.0,12,12.0,10.0,3.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0,2.0,28.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
52,193.0,2014.0,688-193-2015-02-14,2015-02-14,1620696.0,12,12.0,10.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,0.0,6.0,1.0,7.0,5.0,0.0,2.0,29.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
53,193.0,2014.0,193-1068-2014-12-15,2014-12-15,1620696.0,12,12.0,10.0,4.0,5.0,1.0,4.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,4.0,0.0,2.0,27.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
54,193.0,2014.0,513-193-2015-01-28,2015-01-28,1620696.0,12,13.0,7.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,2.0,30.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
55,193.0,2014.0,457-193-2015-03-07,2015-03-07,1620696.0,12,13.0,9.0,3.0,5.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,3.0,4.0,5.0,0.0,3.0,22.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
56,193.0,2014.0,193-626-2015-03-22,2015-03-22,1620696.0,12,13.0,10.0,2.0,6.0,1.0,0.0,0.0,5.0,3.0,4.0,11.0,1.0,12.0,2.0,0.0,2.0,34.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
57,193.0,2014.0,193-67-2015-01-03,2015-01-03,1620696.0,12,13.0,7.0,2.0,5.0,1.0,3.0,2.0,4.0,2.0,0.0,6.0,1.0,7.0,3.0,0.0,1.0,26.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
58,193.0,2014.0,193-749-2015-03-04,2015-03-04,1620696.0,12,13.0,8.0,1.0,6.0,1.0,0.0,0.0,7.0,0.0,6.0,4.0,2.0,6.0,1.0,0.0,3.0,25.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
59,193.0,2014.0,193-674-2014-11-22,2014-11-22,1620696.0,12,14.0,10.0,7.0,4.0,2.0,10.0,4.0,4.0,1.0,1.0,5.0,4.0,9.0,2.0,0.0,1.0,35.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
60,193.0,2014.0,193-416-2014-11-18,2014-11-18,1620696.0,12,15.0,11.0,2.0,4.0,1.0,9.0,6.0,3.0,1.0,0.0,5.0,1.0,6.0,3.0,0.0,2.0,36.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
61,193.0,2014.0,746-193-2015-01-31,2015-01-31,1620696.0,12,15.0,16.0,4.0,7.0,0.0,2.0,1.0,2.0,1.0,1.0,10.0,1.0,11.0,4.0,0.0,0.0,31.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
62,193.0,2014.0,193-1320-2014-11-14,2014-11-14,1620696.0,12,15.0,12.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,0.0,3.0,20.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
63,193.0,2014.0,193-255-2015-02-04,2015-02-04,1620696.0,12,15.0,6.0,1.0,5.0,1.0,7.0,4.0,3.0,2.0,2.0,7.0,3.0,10.0,3.0,0.0,1.0,36.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
64,193.0,2014.0,193-690-2014-11-21,2014-11-21,1620696.0,12,15.0,8.0,4.0,4.0,1.0,9.0,6.0,1.0,0.0,1.0,4.0,0.0,4.0,3.0,0.0,1.0,28.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
65,193.0,2014.0,742-193-2015-02-25,2015-02-25,1620696.0,12,15.0,12.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0,7.0,5.0,0.0,2.0,39.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
66,193.0,2014.0,193-2915-2014-12-31,2014-12-31,1620696.0,12,16.0,11.0,4.0,5.0,2.0,4.0,4.0,2.0,0.0,1.0,5.0,2.0,7.0,0.0,0.0,1.0,31.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
67,193.0,2014.0,193-260-2015-03-29,2015-03-29,1620696.0,12,16.0,12.0,4.0,4.0,2.0,6.0,6.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,0.0,1.0,32.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
68,193.0,2014.0,193-457-2015-02-18,2015-02-18,1620696.0,12,16.0,10.0,1.0,6.0,1.0,6.0,3.0,2.0,0.0,1.0,6.0,1.0,7.0,4.0,0.0,1.0,29.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
69,193.0,2014.0,193-220-2014-11-15,2014-11-15,1620696.0,12,18.0,10.0,2.0,6.0,1.0,7.0,5.0,2.0,1.0,1.0,4.0,2.0,6.0,1.0,0.0,1.0,21.0,1620696_AND_2014,1.0,1.0,Justise,Winslow,12.0,6.0,2014.0,Fr.,"WINSLOW,JUSTISE",Duke,ACC,6.0,821.0,1620696.0,F,193.0,1
